country,prct_close_relat,prct_rpt_crime,prct_env_satis_high,prct_env_satis_med,prct_env_satis_low,gdp,prct_job_satis_high,prct_job_satis_med,prct_job_satis_low,prct_leisure_satis_high,prct_leisure_satis_med,prct_leisure_satis_low,life_expect,prct_life_satis_high,prct_life_satis_med,prct_life_satis_low,prct_low_savings,prct_budget_veryhard,prct_budget_hard,prct_budget_somehard,prct_budget_someeasy,prct_budget_easy,prct_budget_veryeasy,median_income,prct_health_verygood,prct_health_good,prct_health_fair,prct_health_bad,prct_health_verybad,prct_rpt_pollution,total_pop,prct_yng_adt_pop,legal_trust_rating,police_trust_rating,political_trust_rating,med_income_underemp,unemp_rate,avg_temp,avg_high_temp,avg_low_temp,avg_precipitation,avg_hrs_worked
Germany,96.7,14.1,40.9,43.1,15.9,3159750,25,50.7,24.3,24.2,42.5,33.3,81,25,55.8,19.2,30,2.3,4.6,9.6,39.4,32.2,12,21152,18,47.2,26.5,6.9,1.4,23.2,80219695,17.105589842993,5.3,6.4,4.9,9.6,4.1,46.6,54,40.5,29.4,35.1
Greece,96.2,11.8,18.3,45.2,36.5,176487.9,14,48.3,37.7,11.6,52.2,36.2,81.5,12.8,51.8,35.5,53.6,40.6,36.2,17,4.4,1.5,0.3,9048,45,29,15.6,7.5,2.8,19.6,10816286,17.604416155416,4.1,5,2,17.2,23.6,62.5,70.1,53.9,25.3,42.3
Hungary,97.2,9.7,15.8,51.9,32.3,113903.8,23,55.7,21.3,15.4,49.4,35.2,76.2,11.3,50.2,38.5,50.8,17.1,25.7,38.1,15.6,3.1,0.4,8267,17.6,42,27.1,10.4,2.8,12.8,9937628,18.3451221961619,5.1,5.7,4.5,8.2,5.1,50.3,58.3,42.7,22.7,39.7
Iceland,96.4,2.2,29.2,56.6,14.2,18646.1,42.3,48,9.6,35,43,22,82.2,38.1,52.4,9.5,30.9,6.2,7.9,20.9,34.9,15.7,14.3,22193,38.3,37.7,17.4,5,1.5,7.9,315556,21.5933146573033,5.7,7.7,3.7,4.3,3,38.5,43.1,34.2,38.1,39.3
Ireland,96.2,9.9,43.7,46.2,10.1,273238.2,28.3,51.7,20,29.1,42.3,28.6,81.8,30.6,52.7,16.7,45.3,12,15.4,36.7,25.4,7.7,2.7,18286,41.7,41.1,13.7,2.8,0.8,4.6,4574888,20.6013349397843,5.1,6.9,3.2,18.2,8.4,49.4,55.2,44,40.8,35.9
Italy,86.8,14.7,11,53.5,35.5,1689824,20.2,62.2,17.6,13.8,58.2,28,83.4,14.2,63,22.7,40.4,10.9,22.4,41.4,20.5,4.4,0.3,16237,10.5,60.4,21.4,6.4,1.3,15.1,59433744,15.4749732744415,3.6,5.8,2.1,12.8,11.7,56.3,63.8,49.1,30.4,37
Latvia,91.8,10,26.2,54.7,19.1,25037.7,25.8,56.9,17.3,21.4,57.8,20.8,74.9,12.6,56.6,30.8,60,12.4,26.9,38.7,16.5,4.6,0.9,9257,5.1,42.1,37.2,12.6,3,17.2,2070371,20.4428578259645,4.5,5.4,3.6,7.2,9.6,42.9,48.8,38.2,23.2,38.7
Lithuania,96.8,3.4,42.1,44.9,13,38849.4,29.6,55.4,15,22,52.4,25.6,74.9,18.8,53.3,27.9,53.2,6.9,22.7,50.4,16.3,3.4,0.3,9364,6.6,36.8,39.6,14.2,2.7,15.6,3043429,20.526780812038,4.9,6,4.5,10.2,7.9,43.4,49.6,36.9,26.3,38.5
Luxembourg,87.1,12.2,33.9,56.9,9.2,53303,30.4,55.1,14.5,30,47.5,22.5,82.7,25.7,59.5,14.8,21.9,4.2,8.2,16.7,32.4,29.9,8.6,28663,23.4,45.8,21.2,7.8,1.8,16.1,512353,18.9406522456197,5.3,6.1,5,6.6,6.3,46.7,54.6,41.2,32.4,37.5
Malta,96.1,10.4,31,46.3,22.7,10344.1,27.2,59.7,13.1,23.6,46.1,30.3,82.6,21.9,57.7,20.4,20.8,6.7,13.2,24.6,40.3,13.5,1.6,17264,22.3,50.6,23.9,2.6,0.5,30.2,417432,20.5906590774066,4.9,6.3,5.7,7.3,4.7,65.7,72.3,59.1,22,38.7
